x,y,class
3.0242,2.0959,5
3.1041,2.0062,5
3.0908,2.0857,5
3.0662,2.0775,5
3.1036,2.0933,5
3.064,2.1222,5
3.069,2.048,5
3.0267,2.0325,5
3.0735,2.1097,5
3.0178,2.1008,5
3.0065,2.0576,5
3.0854,2.0114,5
3.0761,2.0705,5
3.0275,2.0234,5
3.0508,2.0665,5
3.0787,2.0444,5
3.0694,2.0393,5
3.0159,2.0908,5
3.0211,2.0645,5
3.0001,2.0988,5
3.0523,2.0256,5
3.0611,2.0848,5
3.02,2.0066,5
3.0834,2.1001,5
3.0022,2.0848,5
3.015,2.1183,5
3.119,2.0114,5
3.122,2.1136,5
3.0039,2.0637,5
3.0617,2.0769,5
3.1078,2.0395,5
3.0304,2.0097,5
3.1043,2.1063,5
3.1017,2.0181,5
3.0786,2.0463,5
3.0003,2.0778,5
3.0475,2.1247,5
3.1131,2.0647,5
3.085,2.1238,5
3.0474,2.0283,5
3.079,2.0498,5
3.0304,2.0871,5
3.0714,2.0081,5
3.1227,2.0935,5
3.1062,2.0526,5
3.0354,2.1014,5
