x,y,class
3.7386,1.4739,4
3.1594,2.5025,4
3.0997,3.1209,4
2.2899,0.3245,4
3.7061,3.7175,4
3.2441,3.1029,4
2.7019,1.9472,4
3.0265,1.7434,4
2.8036,1.7871,4
2.1519,1.2254,4
2.4798,2.034,4
2.2466,2.0431,4
2.3678,3.2705,4
2.4799,3.1793,4
1.2165,0.33943,2
0.81791,1.273,2
1.4674,0.31365,2
1.0492,0.35717,2
0.77609,1.0325,2
1.6585,0.3951,2
1.5639,1.4772,2
1.0752,1.4763,2
1.1837,1.3337,2
1.1306,0.4748,2
0.56161,1.2394,2
0.70187,1.0279,2
0.95639,1.7095,2
0.59573,1.2235,2
1.5165,1.4505,2
0.54215,0.9307,2
0.58888,0.89859,2
0.50606,1.488,2
0.5915,0.3752,2
0.90355,0.44976,2
0.71665,0.51008,2
1.6351,0.83641,2
0.89531,1.4971,2
0.52722,1.455,2
1.6073,0.34071,2
1.7196,0.84889,2
0.9083,1.0403,2
0.41668,0.8752,2
0.6371,1.2353,2
0.86308,1.192,2
1.1423,0.68798,2
0.64332,0.89748,2
1.1543,0.27323,2
1.3168,1.7261,2
0.58262,0.50075,2
0.42613,0.40932,2
0.69501,0.80861,2
0.72817,0.54718,2
0.88625,0.98453,2
1.0118,0.75924,2
0.37827,1.6774,2
0.64372,1.6305,2
1.4515,0.32902,2
0.29383,1.3568,2
1.6433,0.65368,2
1.3455,0.88425,2
0.98291,1.0718,2
1.1178,1.6641,2
0.60593,0.87662,2
0.93827,1.7246,2
1.6946,0.70218,2
1.0702,1.3016,2
1.0317,1.2495,2
0.59739,1.0587,2
0.98335,1.2972,2
1.1861,1.2498,2
1.2687,0.5172,2
0.84327,0.44202,2
0.80115,1.7486,2
1.732,0.50668,2
0.30661,0.2989,2
1.5778,1.0918,2
1.6199,1.5728,2
1.4443,1.2538,2
0.39807,0.53565,2
0.64281,0.80337,2
0.75304,0.94109,2
1.2696,1.7225,2
0.45483,0.48461,2
1.3318,1.5333,2
0.41014,1.2171,2
1.2306,0.81441,2
0.99126,0.53639,2
1.4186,0.89238,2
1.3226,0.97303,2
1.6056,0.43092,2
1.5864,1.1343,2
0.75124,0.58928,2
1.2981,0.82693,2
0.54671,1.1245,2
0.29581,0.62771,2
1.3661,0.68566,2
1,1.1756,2
0.96988,0.64792,2
1.6071,1.4866,2
1.1648,1.724,2
1.1765,1.3454,2
1.5392,0.76582,2
1.4582,1.1261,2
1.1151,0.41165,2
0.52438,1.6095,2
0.6099,1.5695,2
1.5798,1.4766,2
0.29301,0.64109,2
0.98485,1.1415,2
0.50189,0.28377,2
1.718,0.88789,2
1.319,0.71908,2
1.0007,0.49223,2
0.95663,0.51815,2
0.88433,3.1234,3
0.39134,3.0611,3
1.1478,3.5549,3
0.95639,2.6472,3
1.2939,2.7271,3
1.2998,2.4288,3
1.2078,3.6597,3
0.30041,3.2183,3
0.35321,2.9692,3
0.7294,3.209,3
1.0463,3.0671,3
1.2317,3.221,3
0.86143,3.0658,3
1.48,3.3316,3
1.3275,3.0337,3
1.703,3.7406,3
1.047,2.578,3
0.73772,2.4087,3
0.40844,2.4145,3
1.1664,2.3454,3
1.4182,2.8569,3
0.88518,2.9226,3
0.38623,2.7987,3
0.64971,3.3953,3
0.48049,3.1918,3
0.67151,3.408,3
0.91013,3.6493,3
1.0407,3.7091,3
0.93614,2.538,3
1.5631,2.4583,3
1.0271,3.2944,3
1.6654,2.3907,3
1.2066,3.0381,3
1.6865,3.0455,3
0.61106,3.5417,3
1.2642,2.9773,3
0.6836,2.8402,3
1.2577,3.2571,3
1.2927,3.3619,3
0.35199,3.0301,3
0.63219,2.7716,3
0.58606,2.475,3
1.2517,3.1291,3
1.5166,2.6432,3
0.76669,2.3167,3
1.4208,3.3824,3
1.263,2.6142,3
0.26007,2.9136,3
1.1533,3.2817,3
0.83016,2.7888,3
1.624,3.3545,3
0.25173,2.8421,3
0.94367,3.2751,3
0.88652,3.3061,3
0.94137,2.9135,3
1.4052,2.2794,3
0.73371,2.7463,3
1.4271,2.8865,3
0.95704,2.6554,3
0.30364,2.5456,3
0.51381,3.4826,3
1.3326,2.8949,3
0.96023,3.5817,3
0.47908,2.8368,3
0.76169,3.4037,3
1.1611,2.8452,3
0.53762,3.4628,3
1.3576,3.3826,3
0.61427,2.8161,3
1.6261,2.574,3
0.65359,3.4356,3
1.3983,3.674,3
0.53299,2.7413,3
0.68125,3.2569,3
0.38667,2.908,3
1.1143,3.5003,3
1.275,3.4033,3
1.0699,2.5009,3
0.88859,3.543,3
1.2167,3.7348,3
1.2214,3.0216,3
1.2685,3.5764,3
1.2037,3.132,3
1.6678,2.4821,3
0.5634,2.5498,3
1.3139,2.8604,3
0.60435,3.3731,3
0.42909,3.4884,3
1.161,3.4349,3
0.92521,2.7278,3
0.93809,3.0511,3
1.2429,2.3849,3
1.4054,2.4176,3
0.77533,2.4544,3
1.243,3.268,3
0.87424,2.9928,3
1.5129,2.5346,3
1.4994,2.9925,3
0.63466,2.4714,3
1.1702,2.3325,3
3.2756,2.7319,5
2.4481,1.5056,5
3.3341,1.6367,5
2.4155,1.8452,5
2.4262,1.361,5
3.2111,2.2761,5
2.7432,1.8536,5
3.2307,2.7243,5
3.3737,1.8533,5
3.1248,2.181,5
3.36,1.4816,5
2.6022,1.822,5
3.3524,1.4917,5
3.7059,2.3872,5
3.5504,2.5567,5
2.3794,1.7762,5
2.7997,2.2783,5
2.8038,1.6912,5
3.2775,2.0459,5
3.1469,2.4986,5
3.434,2.1462,5
2.8015,1.753,5
2.559,1.6988,5
2.38,1.9289,5
3.4079,1.884,5
2.5585,1.7894,5
2.8324,2.0875,5
3.0777,2.3638,5
2.5934,1.8865,5
3.2129,1.894,5
2.9767,1.4373,5
2.4778,1.2867,5
3.4229,1.6853,5
2.4009,1.7263,5
2.6911,2.2305,5
2.6061,2.6854,5
3.0463,2.6536,5
2.3872,1.9368,5
2.858,1.6107,5
2.4073,2.3958,5
2.4184,2.389,5
3.4266,2.361,5
2.6874,2.3655,5
3.1553,1.4089,5
3.6966,2.2723,5
2.8987,1.9449,5
3.2921,1.5682,5
3.3871,1.3978,5
2.899,2.4854,5
3.2332,1.5125,5
2.4146,1.4954,5
3.6506,2.249,5
2.5312,2.5916,5
2.6493,2.0248,5
3.4467,2.3041,5
2.9814,1.4804,5
3.4034,2.6802,5
2.844,2.0613,5
2.6594,2.2696,5
2.3059,1.3048,5
3.2599,2.4638,5
2.8943,2.3729,5
2.9276,1.4303,5
3.1648,2.0376,5
2.3391,1.7388,5
2.7237,2.0697,5
3.4091,1.8483,5
3.2946,1.8726,5
2.438,1.5211,5
2.4452,1.6331,5
2.3885,1.2808,5
2.2617,2.6355,5
2.8847,2.2305,5
3.2334,2.6489,5
3.3344,1.4953,5
3.0468,2.6316,5
2.4132,2.442,5
3.1976,2.1161,5
2.4397,1.9101,5
2.4515,1.6364,5
2.3979,2.3779,5
2.463,1.593,5
2.5024,1.3463,5
2.5444,2.401,5
2.7262,2.2568,5
2.7246,2.3228,5
2.5763,2.2131,5
2.6266,1.8786,5
3.5894,1.8361,5
3.3048,2.4742,5
3.0836,1.7261,5
2.5267,2.4718,5
2.568,2.4336,5
2.366,2.5284,5
3.6207,2.0085,5
3.3101,2.2035,5
3.0867,2.6763,5
2.7201,1.9159,5
2.4993,1.34,5
3.1837,2.5501,5
